Flex_Sensor1,Flex_Sensor2,Flex_Sensor3,Flex_Sensor4,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Label
0.8589557081385368,0.061046513046332684,0.9060162606249618,0.7143067541528777,0.2905295248225147,0.19958044464681657,0.2930145113190278,0.19196298380545818,0.38079456151123003,0.5284549498122841,A
0.5999593880617734,0.44381775442737204,0.6427494448623857,0.048059999416942834,0.7793356725316486,0.8821099797963373,0.9557123398552198,0.37153283530297065,0.9844416860477614,0.6317323543810592,A
0.5264027588828804,0.4864602089486757,0.40998750561872244,0.8135581922466298,0.44927161833881357,0.1445958792655503,0.1607584495373342,0.0360733362494704,0.5603255623587288,0.7186501844065628,A
0.018295214223712386,0.7761419849898907,0.2250265792462408,0.5061985662357342,0.7112731092531609,0.8234426166905381,0.5734180366242724,0.8715413805454736,0.8796981616888258,0.6028088640196527,A
0.5509884531355312,0.2882515228082828,0.2079248312373908,0.923203873991096,0.7744061407485615,0.8768295763074135,0.9570162592713491,0.6452697907695247,0.7024961802384884,0.7927944431182631,A
0.8053628268059252,0.39233299616197825,0.8780349296153156,0.26171820035951643,0.270140552971592,0.04448617652764608,0.5013389221856922,0.8938085623611521,0.995095141204458,0.6790222721715103,A
0.19841660551629137,0.32496502792989734,0.5473434118087865,0.515028270154949,0.36508214202148126,0.625687599892558,0.29339565676209034,0.5685651051661043,0.3665486440685849,0.6399880739939748,A
0.6562713535488648,0.19609558737844923,0.35223967331253847,0.8237470278019183,0.15331012089812257,0.32758610822016954,0.6745731885268429,0.9816295413758312,0.6387105314339955,0.4898715098757356,A
0.6784670775586189,0.15934700815372793,0.5687841730374877,0.33888894930775293,0.1010600697578874,0.012902765974737385,0.662651191112635,0.9457582218412726,0.3453703246102722,0.26475361415533394,A
0.4525871995661591,0.8384012409472175,0.4553116250546547,0.6995911353296707,0.5346833336147668,0.9509547779175919,0.8165472113849703,0.17437424053547024,0.9885247048845576,0.6123652956295297,A
0.28665580669230495,0.4526890426966508,0.45414041626427604,0.8376772716100138,0.9865977947507392,0.4554174177426542,0.21466098849810966,0.7814117507360536,0.41613049823742965,0.9468674524139454,A
0.42100436963259424,0.06548445720303697,0.9786914727292685,0.06028992107407882,0.7900273001673506,0.8718052749791906,0.8841370433888597,0.5552443580615724,0.03614510217151223,0.40236849332884095,A
0.2116092296570219,0.4224154543587876,0.7029755715911252,0.5091519598114521,0.6195761737454851,0.934288960358492,0.5877610416248775,0.4999568921768023,0.8034239623238634,0.5949406581538618,A
0.49122373629138727,0.49894805896507743,0.8510922529767313,0.8850768201567383,0.2264874381141495,0.7866967776370521,0.44405488833040907,0.06304948177977776,0.24548277552085218,0.3661299114869432,A
0.9730200824905648,0.44176141632052635,0.12503334829835422,0.17804153868684236,0.15481684629801895,0.719929561355055,0.7345140327611419,0.6582093258020538,0.7509093085649144,0.14388127224339564,A
